,RAM_total_rewards,RAM_avg_rewards
108,-627,-0.12935836599958736
109,-630,-0.12989690721649486
110,-624,-0.12881915772089184
111,-632,-0.1302555647155812
112,-634,-0.13061392665842603
113,-635,-0.13079299691040164
114,-635,-0.13079299691040164
115,-633,-0.13043478260869565
116,-637,-0.13115091620341776
117,-629,-0.1297174675190761
118,-630,-0.12989690721649486
119,-630,-0.12989690721649486
120,-305,-0.10214333556597455
121,-305,-0.10214333556597455
122,-305,-0.10214333556597455
123,-305,-0.10214333556597455
124,-305,-0.10214333556597455
125,-305,-0.10214333556597455
126,-305,-0.10214333556597455
127,-305,-0.10214333556597455
128,-305,-0.10214333556597455
129,-305,-0.10214333556597455
130,-305,-0.10214333556597455
131,-305,-0.10214333556597455
132,-305,-0.10214333556597455
133,-305,-0.10214333556597455
134,-305,-0.10214333556597455
135,-305,-0.10214333556597455
136,-305,-0.10214333556597455
137,-305,-0.10214333556597455
138,-305,-0.10214333556597455
139,-305,-0.10214333556597455
140,-305,-0.10214333556597455
141,-305,-0.10214333556597455
142,-305,-0.10214333556597455
143,-305,-0.10214333556597455
144,-305,-0.10214333556597455
145,-305,-0.10214333556597455
146,-305,-0.10214333556597455
147,-305,-0.10214333556597455
148,-305,-0.10214333556597455
149,-305,-0.10214333556597455
150,-305,-0.10214333556597455
151,-305,-0.10214333556597455
152,-305,-0.10214333556597455
153,-305,-0.10214333556597455
154,-305,-0.10214333556597455
155,-305,-0.10214333556597455
156,-305,-0.10214333556597455
157,-305,-0.10214333556597455
158,-305,-0.10214333556597455
159,-305,-0.10214333556597455
160,-305,-0.10214333556597455
161,-305,-0.10214333556597455
162,-305,-0.10214333556597455
163,-305,-0.10214333556597455
164,-305,-0.10214333556597455
165,-305,-0.10214333556597455
166,-305,-0.10214333556597455
167,-305,-0.10214333556597455
168,-305,-0.10214333556597455
169,-305,-0.10214333556597455
170,-305,-0.10214333556597455
171,-305,-0.10214333556597455
172,-305,-0.10214333556597455
