task_id,instances_num,task_type,job_id,status,start_time,end_time,cpu,memory,duration,disk,submit_time
task_LTE4NjUxMjg5NDY5MDI4NjAzNzU=,1,A,6,Terminated,675912,675920,5,0.03,8,0,0
task_ODk2MzU0ODg1MTY5MTExNTUwMg==,1,A,6,Terminated,675912,675915,10,0.05,3,0,0
J6_2_5,3,A,1,Terminated,231440,231727,100,0.59,287,0,0
M5_4,1,A,1,Terminated,231440,231492,100,0.3,52,0,0
R7_6,3,A,1,Terminated,231440,231727,100,0.39,287,0,0
R2_1,1,A,1,Terminated,231440,231441,100,0.39,1,0,0
M1,1,A,1,Terminated,231440,231441,100,0.3,1,0,0
R2_1,1,A,1,Terminated,545783,545784,50,0.2,1,0,0
M1,1,A,1,Terminated,545783,545784,50,0.2,1,0,0
M1,1,A,1,Terminated,546934,546950,50,0.2,16,0,0
M1,1,A,1,Terminated,274091,274102,100,0.2,11,0,0
M2,1,A,1,Terminated,178509,178513,50,0.3,4,0,0
J3_1_2,1,A,1,Terminated,178509,178533,50,0.3,24,0,0
M1,4,A,1,Terminated,178509,178522,50,0.39,13,0,0
M1,1,A,1,Terminated,618233,618234,100,0.2,1,0,0
task_LTg0MTUwNTA5Mjg4MDkwNjIzMA==,1,A,10,Failed,243225,243228,100,0.1,3,0,0
M1,1,A,1,Terminated,363607,363608,100,0.3,1,0,0
R3_2,1,A,1,Terminated,363607,363608,100,0.49,1,0,0
R2_1,1,A,1,Terminated,363607,363608,100,0.49,1,0,0
R4_3,1,A,1,Terminated,363607,363608,100,0.49,1,0,0
R5_4,1,A,1,Terminated,363607,363608,100,0.39,1,0,0
R3_2,1,A,1,Terminated,633313,633318,100,0.49,5,0,0
R4_3,1,A,1,Terminated,633313,633318,100,0.39,5,0,0
M1,11,A,1,Terminated,633313,633318,100,0.3,5,0,0
R2_1,5,A,1,Terminated,633313,633318,100,0.49,5,0,0
J7_5_6,3,A,1,Terminated,349657,349662,100,0.59,5,0,0
M4_1_2_3,3,A,1,Terminated,349657,349662,100,0.3,5,0,0
M5,1,A,1,Terminated,349657,349658,100,0.3,1,0,0
R2_5,1,A,1,Terminated,349657,349658,100,0.39,1,0,0
M6,1,A,1,Terminated,349657,349660,100,0.3,3,0,0
R1_5,1,A,1,Terminated,349657,349658,100,0.39,1,0,0
R8_4_7,7,A,1,Terminated,349657,349663,100,0.39,6,0,0
R3_5,1,A,1,Terminated,349657,349659,100,0.39,2,0,0
R2_1,1,A,1,Terminated,443709,443732,50,0.2,23,0,0
M1,1,A,1,Terminated,443709,443729,50,0.2,20,0,0
R2_1,1,A,1,Terminated,609606,609624,50,0.2,18,0,0
M3,108,A,1,Terminated,609606,609661,50,0.59,55,0,0
