,avg_makespans,tictoc,avg_completions,avg_slowdowns,total_rewards,avg_rewards
27,650.4166666666666,58.32513356208801,153.39467047079452,2.9768420795122243,-319.0560771717197,-0.06555497784502151
28,650.8333333333334,57.785778760910034,151.18947333817806,2.932157067536629,-307.3594008210706,-0.06309985646090548
29,652.25,55.559592723846436,151.1796167073537,2.9260850700325,-302.38545125610256,-0.062078721259721324
30,654.6666666666666,58.06608438491821,147.71635505860817,2.831791132055385,-291.179713228961,-0.05977822074090762
31,656.0,57.07685971260071,147.9717314026942,2.8341154731196148,-294.19852125026546,-0.060286582223415056
32,652.4166666666666,56.15872025489807,148.26653427007767,2.8442862576076426,-292.1951410937768,-0.05991288519454107
33,652.75,57.996248960494995,148.77728695824973,2.863200589231491,-299.2313872791044,-0.06143120247979972
34,654.0,57.58830165863037,148.96456294391282,2.8701262761624524,-301.2393741294988,-0.06176735167715784
35,651.6666666666666,57.84499216079712,148.54700021989848,2.8656796656678893,-295.46400423900485,-0.06055831199815635
36,651.5,54.87165307998657,148.22710774678018,2.849502491644067,0.0,0.0
37,652.5,58.382636308670044,149.56492136685188,2.884582777801812,-294.5206347572422,-0.06043928478498711
38,651.5,58.20439839363098,149.95112208369778,2.8953425699648485,0.0,0.0
39,651.75,56.441919803619385,149.10793211954004,2.8832819203284203,-296.4158860248531,-0.06087818566951183
40,651.75,56.59661817550659,151.7244195747372,2.9416157403073906,0.0,0.0
41,650.75,57.78077435493469,151.58015434176227,2.961870709359171,-311.950048431935,-0.06398975352449948
42,651.1666666666666,58.996965408325195,151.25667763925333,2.929054897394923,-297.27804884038915,-0.06101766191305196
43,651.6666666666666,54.3840434551239,149.10703606219238,2.893908353362873,-311.90133771643895,-0.06404544922308808
44,652.1666666666666,56.72585487365723,150.64108624140383,2.9207215652350516,-314.434069999209,-0.06448606849860726
45,652.0,56.54149270057678,151.0219106141637,2.941040632572895,-310.03738616141743,-0.06363657351424824
46,652.25,56.18703484535217,149.74950918047196,2.9048920637840148,-298.3183183428574,-0.06126890908664149
47,654.75,56.579073667526245,150.4860683202569,2.9215566941797166,-297.91942640963055,-0.061199553494172255
48,652.3333333333334,56.01030254364014,151.39825470018522,2.9282400862669973,-314.7119695816517,-0.06458279695909126
49,655.0,56.10610914230347,149.81312925215653,2.901945908009317,-301.8613211906689,-0.061894878242909346
50,653.9166666666666,54.08793592453003,150.1455665281422,2.897084792851152,-308.599444390539,-0.06328946767648462
51,653.1666666666666,56.36167311668396,150.22531563208486,2.9113046699666563,-309.91612915386514,-0.06357253931361337
52,654.0,54.25395488739014,149.1581113310096,2.8891291548195106,-300.13403759279174,-0.06157858793450795
53,654.4166666666666,54.332605838775635,148.32746616971926,2.8639419132594495,-299.9514350227517,-0.0615284994918465
