,RAS_MyRAS_Signal_avg_makespans,RAS_MyRAS_Signal_avg_completions,RAS_MyRAS_Signal_avg_slowdowns,RAS_MyRAS_Signal_global_step,RAS_MyRAS_Signal_tictoc
39,656.5,132.55032271786402,3.7004166911363634,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.695744037628174
40,311.0,55.426308355804345,1.8374633826112887,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",2.164958953857422
41,311.0,55.265076471746376,1.7930185370031093,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",3.138869047164917
42,311.0,55.28681560218117,1.810535844756411,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",2.3373641967773438
43,311.0,55.25420690652899,1.8249067181817926,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",2.2998149394989014
44,311.0,55.38645328334058,1.8441628249371138,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",2.3471858501434326
45,311.0,55.413627196384056,1.8112639296375868,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",2.756622076034546
46,311.0,55.30130835580436,1.8080114938303053,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",2.334329128265381
47,311.0,55.33754023986233,1.8312279143388548,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",2.34794282913208
48,311.0,55.36471415290581,1.8142724779332593,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",2.3450140953063965
49,311.0,55.32667067464493,1.8214531706788593,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",2.399822235107422
50,4060.9166666666665,195.49273231216566,4.074962874201623,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.73055911064148
51,4059.9166666666665,195.9477323121657,4.093940867673449,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",9.309383869171143
52,4057.5833333333335,195.34606564549904,4.072927595187184,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",9.185232162475586
53,4060.9166666666665,194.06773231216565,4.033365083804008,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",9.358043909072876
54,4065.0833333333335,193.41273231216567,3.9638004403854326,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.88046407699585
55,4061.9166666666665,193.06939897883237,3.9544555731929436,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.87462306022644
56,4078.9166666666665,193.94606564549898,4.030848888785262,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.735597133636475
57,4074.5,193.4627323121657,3.9921865423222567,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",9.554990291595459
58,4087.1666666666665,193.541065645499,3.9927045157344625,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.926099061965942
59,4086.8333333333335,193.24939897883235,4.011330071772907,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",14.597821950912476
60,527.75,67.0297574367085,2.367254961264742,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.90402626991272
61,531.0833333333334,66.27737648432755,2.334382718273428,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.227888107299805
62,532.3333333333334,66.55832886527993,2.3507359365828653,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.358124017715454
63,530.9166666666666,66.61547172242278,2.35892625991231,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.2123637199401855
64,530.5,66.70594791289898,2.355063488861728,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.805237054824829
65,530.9166666666666,66.6749955319466,2.3585111511414985,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.2666099071502686
66,531.6666666666666,66.84404315099421,2.358658058378838,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",9.691112041473389
67,529.6666666666666,67.14166219861328,2.3705139273297213,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.083653926849365
68,529.3333333333334,66.94880505575613,2.360941334383925,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",7.414571046829224
69,530.4166666666666,66.90832886527993,2.37237508974313,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",8.413393259048462
70,464.0,68.79565733814246,2.7155221270355416,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",5.2179882526397705
71,463.5,68.44969774218286,2.541460710328702,"<tf.Variable 'global_step:0' shape=() dtype=int64, numpy=5040>",5.481537103652954
